,ID,TERMS (PT-NPT),RELATIONS,PT,MT,code,domain_code,domain
10033,488,identity document,,,1231 international law,1231,12,12 law
10034,c_7546272f,identity fraud,USE,identity theft,1216 criminal law,1216,12,12 law
10035,c_7546272f,identity theft,,,1216 criminal law,1216,12,12 law
10036,3919,ill-treated child,USE,child protection,2826 social affairs,2826,28,28 social questions
10037,4513,illegal abortion,,,2806 family,2806,28,28 social questions
10038,6737,illegal building,,,2846 construction and town planning,2846,28,28 social questions
10039,6737,illegal construction,USE,illegal building,2846 construction and town planning,2846,28,28 social questions
10040,4549,illegal employment,USE,moonlighting,4406 employment,4406,44,44 employment and working conditions
10041,c_db56b1e0,illegal fishing,,,5641 fisheries,5641,56,"56 agriculture, forestry and fisheries"
10042,1915,illegal immigration,USE,illegal migration,2811 migration,2811,28,28 social questions
10043,c_65467c72,illegal logging,,,5636 forestry,5636,56,"56 agriculture, forestry and fisheries"
10044,1915,illegal migration,,,2811 migration,2811,28,28 social questions
10045,3945,illegal restraint,,,1216 criminal law,1216,12,12 law
10046,3581,illegal trade practice,USE,restriction on competition,4031 competition,4031,40,40 business and competition
10047,4549,illegal work,USE,moonlighting,4406 employment,4406,44,44 employment and working conditions
10048,c_db56b1e0,"illegal, unreported and unregulated fishing",USE,illegal fishing,5641 fisheries,5641,56,"56 agriculture, forestry and fisheries"
10049,1588,illegality,USE,legality,0406 political framework,0406,04,04 politics
10050,761,illegitimate child,USE,natural child,2806 family,2806,28,28 social questions
10051,3169,illicit trade,,,2006 trade policy,2006,20,20 trade
10052,4556,illicit worker,USE,clandestine worker,4411 labour market,4411,44,44 employment and working conditions
10053,1691,illiteracy,,,2826 social affairs,2826,28,28 social questions
10054,1754,illness,,,2841 health,2841,28,28 social questions
10055,5669,image,,,0431 politics and public safety,0431,04,04 politics
10056,2227,immediate applicability,USE,direct applicability,1011 European Union law,1011,10,1011 european union law
10057,2227,immediate effect,USE,direct applicability,1011 European Union law,1011,10,1011 european union law
10058,3320,immigrant,USE,migrant,2811 migration,2811,28,28 social questions
10059,4562,immigrant worker,USE,migrant worker,4411 labour market,4411,44,44 employment and working conditions
10060,1302,immigration,,,2811 migration,2811,28,28 social questions
10061,2815,immovable property,USE,real property,1211 civil law,1211,12,12 law
10062,1304,immunology,,,2841 health,2841,28,28 social questions
10063,5333,impact of  information and communication technologies,USE,impact of information technology,3236 information technology and data processing,3236,32,32 education and communications
10064,5333,impact of ICT,USE,impact of information technology,3236 information technology and data processing,3236,32,32 education and communications
10065,1305,impact of advertising,,,2031 marketing,2031,20,20 trade
10066,5333,impact of informatics,USE,impact of information technology,3236 information technology and data processing,3236,32,32 education and communications
10067,5333,impact of information technology,,,3236 information technology and data processing,3236,32,32 education and communications
10068,5333,impact of the digital revolution,USE,impact of information technology,3236 information technology and data processing,3236,32,32 education and communications
10069,3085,impact study,,,1631 economic analysis,1631,16,16 economics
10070,1306,imperialism,,,0816 international security,0816,08,08 international relations
10071,3844,implant,USE,medical device,2841 health,2841,28,28 social questions
10072,3841,implement,USE,tool industry,6821 mechanical engineering,6821,68,68 industry
10073,c_70c441cc,implementation deficit,USE,transposition deficit,1011 European Union law,1011,10,1011 european union law
10074,2247,implementation of Community law,USE,application of EU law,1011 European Union law,1011,10,1011 european union law
10075,5739,implementation of EC Directives,USE,national implementing measure,1011 European Union law,1011,10,1011 european union law
10076,929,implementation of the budget,,,2441 budget,2441,24,24 finance
10077,2236,implementation of the law,USE,application of the law,1206 sources and branches of the law,1206,12,12 law
10078,4023,implementing Regulation,,,1011 European Union law,1011,10,1011 european union law
10079,440579,implementing decision,,,1011 European Union law,1011,10,1011 european union law
10080,440631,implementing directive,,,1011 European Union law,1011,10,1011 european union law
10081,1309,import,,,2016 trade,2016,20,20 trade
10082,3191,import (EU),,,2016 trade,2016,20,20 trade
10083,1644,import authorisation,USE,import licence,2011 tariff policy,2011,20,20 trade
10084,3579,import ban,USE,import restriction,2021 international trade,2021,20,20 trade
10085,1644,import certificate,USE,import licence,2011 tariff policy,2011,20,20 trade
10086,288,import credit,,,2006 trade policy,2006,20,20 trade
10087,5583,import customs debt,USE,customs debt,2011 tariff policy,2011,20,20 trade
10088,3167,import levy,,,2006 trade policy,2006,20,20 trade
10089,1644,import licence,,,2011 tariff policy,2011,20,20 trade
10090,1982,import monopoly,,,4031 competition,4031,40,40 business and competition
10091,1644,import permit,USE,import licence,2011 tariff policy,2011,20,20 trade
10092,2488,import policy,,,2006 trade policy,2006,20,20 trade
10093,2635,import price,,,2451 prices,2451,24,24 finance
10094,3570,import refund,,,2006 trade policy,2006,20,20 trade
10095,3579,import restriction,,,2021 international trade,2021,20,20 trade
10096,3271,import substitution,,,2006 trade policy,2006,20,20 trade
10097,4400,import surcharge,USE,import tax,2446 taxation,2446,24,24 finance
10098,4400,import tax,,,2446 taxation,2446,24,24 finance
10099,2675,imposed price,,,2451 prices,2451,24,24 finance
10100,3953,imprisonment,,,1216 criminal law,1216,12,12 law
10101,1456,improvement of housing,,,2846 construction and town planning,2846,28,28 social questions
10102,83,improvement of living conditions,USE,living conditions,2821 social framework,2821,28,28 social questions
10103,3165,improvement of market conditions,USE,market stabilisation,2006 trade policy,2006,20,20 trade
10104,1475,improvement of plant varieties,USE,plant breeding,5606 agricultural policy,5606,56,"56 agriculture, forestry and fisheries"
10105,1483,improvement of soils,USE,soil improvement,5621 cultivation of agricultural land,5621,56,"56 agriculture, forestry and fisheries"
10106,2869,improvement of the environment,USE,quality of the environment,5206 environmental policy,5206,52,52 environment
10107,1456,improvement of the housing environment,USE,improvement of housing,2846 construction and town planning,2846,28,28 social questions
10108,1456,improvement of the residential environment,USE,improvement of housing,2846 construction and town planning,2846,28,28 social questions
10109,1456,improvement of the residential milieu,USE,improvement of housing,2846 construction and town planning,2846,28,28 social questions
10110,1273,improvement of working conditions,USE,humanisation of work,4416 organisation of work and working conditions,4416,44,44 employment and working conditions
10111,6614,impunity,,,1216 criminal law,1216,12,12 law
10112,6360,in country,USE,participating country,2406 monetary relations,2406,24,24 finance
10113,4665,in-home selling,USE,door-to-door selling,2031 marketing,2031,20,20 trade
10114,1073,in-service training,,,4406 employment,4406,44,44 employment and working conditions
10115,2555,inactive,USE,non-working population,4411 labour market,4411,44,44 employment and working conditions
10116,1828,incandescent lamp,USE,lighting equipment,6826 electronics and electrical engineering,6826,68,68 industry
10117,1334,incapacity for work,,,4416 organisation of work and working conditions,4416,44,44 employment and working conditions
10118,3433,incendiary weapon,,,0821 defence,0821,08,08 international relations
10119,3845,incentive pay,USE,piece work pay,4421 personnel management and staff remuneration,4421,44,44 employment and working conditions
10120,5142,incentive to repent,USE,repentance,1216 criminal law,1216,12,12 law
10121,5062,inclusion in the budget,,,2436 public finance and budget policy,2436,24,24 finance
10122,694,inclusion on the electoral register,USE,registration of voters,0416 electoral procedure and voting,0416,04,04 politics
10123,4768,inclusive tour,USE,package travel,2826 social affairs,2826,28,28 social questions
10124,3659,income,,,1626 national accounts,1626,16,16 economics
10125,3273,income derived from work,USE,remuneration of work,4421 personnel management and staff remuneration,4421,44,44 employment and working conditions
10126,c_cb1ce6ff,income for fisherman,USE,fishing revenue,5641 fisheries,5641,56,"56 agriculture, forestry and fisheries"
10127,3688,income in addition to normal pay,,,4421 personnel management and staff remuneration,4421,44,44 employment and working conditions
10128,4249,income stabilisation,,,1606 economic policy,1606,16,16 economics
10129,4249,income stabilization,USE,income stabilisation,1606 economic policy,1606,16,16 economics
10130,826,income support,USE,aid to disadvantaged groups,2836 social protection,2836,28,28 social questions
10131,1326,income tax,USE,tax on income,2446 taxation,2446,24,24 finance
10132,2490,incomes policy,,,1606 economic policy,1606,16,16 economics
10133,1336,incompatibility,,,0421 parliament,0421,04,04 politics
10134,150,incorporation,,,4006 business organisation,4006,40,40 business and competition
10135,1337,incoterms,,,2021 international trade,2021,20,20 trade
10136,4863,increase in production,,,6406 production,6406,64,"64 production, technology and research"
10137,7364,incunabula,,,3221 documentation,3221,32,32 education and communications
10138,742,indebtedness,,,2416 financial institutions and credit,2416,24,24 finance
10139,1339,indemnification,,,1211 civil law,1211,12,12 law
10140,1339,indemnity,USE,indemnification,1211 civil law,1211,12,12 law
10141,3477,indemnity insurance,,,2431 insurance,2431,24,24 finance
10142,6548,independence of disabled persons,USE,independence of the disabled,2826 social affairs,2826,28,28 social questions
10143,6542,independence of elderly persons,USE,dependence of elderly persons,2826 social affairs,2826,28,28 social questions
10144,6548,independence of the disabled,,,2826 social affairs,2826,28,28 social questions
10145,6542,independence of the elderly,USE,dependence of elderly persons,2826 social affairs,2826,28,28 social questions
10146,6623,independence of the judiciary,,,1226 organisation of the legal system,1226,12,12 law
10147,6623,independence of the justice system,USE,independence of the judiciary,1226 organisation of the legal system,1226,12,12 law
10148,3545,independent,USE,self-employed person,4411 labour market,4411,44,44 employment and working conditions
10149,2072,independent member,USE,non-attached member,0421 parliament,0421,04,04 politics
10150,3214,independent retailer,,,2036 distributive trades,2036,20,20 trade
10151,794,independent school,USE,private education,3211 teaching,3211,32,32 education and communications
10152,3214,independent trade,USE,independent retailer,2036 distributive trades,2036,20,20 trade
10153,1349,indexing of pay,USE,wage indexing,4421 personnel management and staff remuneration,4421,44,44 employment and working conditions
10154,2402,indicative planning,USE,economic planning,1606 economic policy,1606,16,16 economics
10155,5799,indigenous people,USE,indigenous population,2816 demography and population,2816,28,28 social questions
10156,5799,indigenous population,,,2816 demography and population,2816,28,28 social questions
10157,8424,indirect democracy,USE,representative democracy,0406 political framework,0406,04,04 politics
10158,698,indirect election,,,0416 electoral procedure and voting,0416,04,04 politics
10159,1316,indirect tax,,,2446 taxation,2446,24,24 finance
10160,6823,indium,USE,special metal,"6816 iron, steel and other metal industries",6816,68,68 industry
10161,443048,individual identity,USE,personality,3611 humanities,3611,36,36 science
10162,443048,individuality,USE,personality,3611 humanities,3611,36,36 science
10163,4251,indoor livestock farming,,,5631 agricultural activity,5631,56,"56 agriculture, forestry and fisheries"
10164,451069,industrial accident,,,6806 industrial structures and policy,6806,68,68 industry
10165,3249,industrial accident insurance,USE,occupational accident insurance,2836 social protection,2836,28,28 social questions
10166,98,industrial action,USE,labour dispute,4426 labour law and labour relations,4426,44,44 employment and working conditions
10167,5031,industrial bakery,USE,bakery,6031 agri-foodstuffs,6031,60,60 agri-foodstuffs
10168,3247,industrial bank,USE,finance house,2416 financial institutions and credit,2416,24,24 finance
10169,4833,industrial building,,,6806 industrial structures and policy,6806,68,68 industry
10170,827,industrial business,USE,industrial enterprise,4011 business classification,4011,40,40 business and competition
10171,c_804a9afe,industrial business licence,USE,industrial operating licence,6806 industrial structures and policy,6806,68,68 industry
10172,5202,industrial capital,,,4026 accounting,4026,40,40 business and competition
10173,3600,industrial change,USE,industrial restructuring,6806 industrial structures and policy,6806,68,68 industry
10174,5968,industrial chemistry,,,3606 natural and applied sciences,3606,36,36 science
10175,c_de4d6f2f,industrial cluster,USE,business cluster,6416 research and intellectual property,6416,64,"64 production, technology and research"
10176,827,industrial company,USE,industrial enterprise,4011 business classification,4011,40,40 business and competition
10177,70,industrial concentration,,,6806 industrial structures and policy,6806,68,68 industry
10178,3201,industrial consumption,USE,intermediate consumption,2026 consumption,2026,20,20 trade
10179,2936,industrial conversion,,,6806 industrial structures and policy,6806,68,68 industry
10180,213,industrial cooperation,,,0811 cooperation policy,0811,08,08 international relations
10181,167,industrial counterfeiting,,,6416 research and intellectual property,6416,64,"64 production, technology and research"
10182,299,industrial credit,,,6806 industrial structures and policy,6806,68,68 industry
10183,323,industrial crop,USE,agro-industrial cropping,5631 agricultural activity,5631,56,"56 agriculture, forestry and fisheries"
10184,1429,industrial data processing,,,3236 information technology and data processing,3236,32,32 education and communications
10185,7956,industrial delocalisation,USE,offshoring,4006 business organisation,4006,40,40 business and competition
10186,2266,industrial democracy,USE,worker participation,4426 labour law and labour relations,4426,44,44 employment and working conditions
10187,3663,industrial design,USE,designs and models,6416 research and intellectual property,6416,64,"64 production, technology and research"
10188,429,industrial development,,,6806 industrial structures and policy,6806,68,68 industry
10189,3625,industrial development area,USE,industrial free zone,6806 industrial structures and policy,6806,68,68 industry
10190,1761,industrial disease,USE,occupational disease,4416 organisation of work and working conditions,4416,44,44 employment and working conditions
10191,98,industrial dispute,USE,labour dispute,4426 labour law and labour relations,4426,44,44 employment and working conditions
10192,652,industrial economy,,,1621 economic structure,1621,16,16 economics
10193,345,industrial effluent,USE,industrial waste,5216 deterioration of the environment,5216,52,52 environment
10194,3863,industrial electric machinery,,,6826 electronics and electrical engineering,6826,68,68 industry
10195,827,industrial enterprise,,,4011 business classification,4011,40,40 business and competition
10196,850,industrial equipment,,,6806 industrial structures and policy,6806,68,68 industry
10197,866,industrial espionage,,,6411 technology and technical regulations,6411,64,"64 production, technology and research"
10198,8450,industrial estate,USE,business park,6806 industrial structures and policy,6806,68,68 industry
10199,1176,industrial fat,,,6016 processed agricultural produce,6016,60,60 agri-foodstuffs
10200,1233,industrial feedingstuffs,USE,manufactured feedingstuffs,5631 agricultural activity,5631,56,"56 agriculture, forestry and fisheries"
10201,1009,industrial financing,,,6806 industrial structures and policy,6806,68,68 industry
10202,2307,industrial fishing,,,5641 fisheries,5641,56,"56 agriculture, forestry and fisheries"
10203,4833,industrial fittings,USE,industrial building,6806 industrial structures and policy,6806,68,68 industry
10204,3625,industrial free zone,,,6806 industrial structures and policy,6806,68,68 industry
10205,3195,industrial goods,USE,intermediate goods,2026 consumption,2026,20,20 trade
10206,429,industrial growth,USE,industrial development,6806 industrial structures and policy,6806,68,68 industry
10207,4076,industrial hazard,,,5206 environmental policy,5206,52,52 environment
10208,5503,industrial heat,USE,heating,6831 building and public works,6831,68,68 industry
10209,1434,industrial infrastructure,,,6806 industrial structures and policy,6806,68,68 industry
10210,3249,industrial injuries scheme,USE,occupational accident insurance,2836 social protection,2836,28,28 social questions
10211,1439,industrial innovation,USE,innovation,6416 research and intellectual property,6416,64,"64 production, technology and research"
10212,1443,industrial inspectorate,USE,labour inspectorate,4426 labour law and labour relations,4426,44,44 employment and working conditions
10213,6705,industrial integration,,,1606 economic policy,1606,16,16 economics
10214,1493,industrial investment,,,6806 industrial structures and policy,6806,68,68 industry
10215,299,industrial loan,USE,industrial credit,6806 industrial structures and policy,6806,68,68 industry
10216,3624,industrial location,USE,location of industry,6806 industrial structures and policy,6806,68,68 industry
10217,2481,industrial management,USE,production policy,6406 production,6406,64,"64 production, technology and research"
10218,3632,industrial manufacturing,,,6411 technology and technical regulations,6411,64,"64 production, technology and research"
10219,2852,industrial model,USE,prototype,6411 technology and technical regulations,6411,64,"64 production, technology and research"
10220,c_804a9afe,industrial operating licence,,,6806 industrial structures and policy,6806,68,68 industry
10221,8450,industrial park,USE,business park,6806 industrial structures and policy,6806,68,68 industry
10222,2277,industrial pastry-making,USE,pastry-making,6031 agri-foodstuffs,6031,60,60 agri-foodstuffs
10223,2375,industrial physiology,USE,occupational physiology,4416 organisation of work and working conditions,4416,44,44 employment and working conditions
10224,2405,industrial planning,,,6806 industrial structures and policy,6806,68,68 industry
10225,2413,industrial plant,,,6006 plant product,6006,60,60 agri-foodstuffs
10226,4443,industrial plot,,,2846 construction and town planning,2846,28,28 social questions
10227,2507,industrial policy,,,6806 industrial structures and policy,6806,68,68 industry
10228,3164,industrial pollution,,,5216 deterioration of the environment,5216,52,52 environment
10229,2677,industrial price,,,6806 industrial structures and policy,6806,68,68 industry
10230,2758,industrial product,,,6806 industrial structures and policy,6806,68,68 industry
10231,2720,industrial production,,,6806 industrial structures and policy,6806,68,68 industry
10232,2802,industrial project,,,6806 industrial structures and policy,6806,68,68 industry
10233,2816,industrial property,,,6416 research and intellectual property,6416,64,"64 production, technology and research"
10234,2857,industrial psychology,USE,occupational psychology,4416 organisation of work and working conditions,4416,44,44 employment and working conditions
10235,2936,industrial reconversion,USE,industrial conversion,6806 industrial structures and policy,6806,68,68 industry
10236,1390,industrial refrigeration,USE,refrigeration industry,6846 miscellaneous industries,6846,68,68 industry
10237,3067,industrial region,,,1616 regions and regional policy,1616,16,16 economics
10238,3209,industrial relations,USE,labour relations,4426 labour law and labour relations,4426,44,44 employment and working conditions
10239,3290,industrial renovation,USE,industrial reorganisation,6806 industrial structures and policy,6806,68,68 industry
10240,3290,industrial reorganisation,,,6806 industrial structures and policy,6806,68,68 industry
10241,3290,industrial reorganization,USE,industrial reorganisation,6806 industrial structures and policy,6806,68,68 industry
10242,2922,industrial research,,,6416 research and intellectual property,6416,64,"64 production, technology and research"
10243,3600,industrial restructuring,,,6806 industrial structures and policy,6806,68,68 industry
10244,3707,industrial revolution,,,6806 industrial structures and policy,6806,68,68 industry
10245,3848,industrial robot,,,6411 technology and technical regulations,6411,64,"64 production, technology and research"
10246,3997,industrial secret,,,6411 technology and technical regulations,6411,64,"64 production, technology and research"
10247,4016,industrial sector,USE,secondary sector,1621 economic structure,1621,16,16 economics
10248,652,industrial society,USE,industrial economy,1621 economic structure,1621,16,16 economics
10249,6395,industrial sociology,,,3611 humanities,3611,36,36 science
10250,1654,industrial starch,USE,starch,6026 foodstuff,6026,60,60 agri-foodstuffs
10251,4264,industrial statistics,,,6806 industrial structures and policy,6806,68,68 industry
10252,4303,industrial structures,,,6806 industrial structures and policy,6806,68,68 industry
10253,867,industrial testing,USE,testing,6411 technology and technical regulations,6411,64,"64 production, technology and research"
10254,5139,industrial trade court,USE,labour tribunal,1226 organisation of the legal system,1226,12,12 law
10255,801,industrial training,USE,technical education,3211 teaching,3211,32,32 education and communications
10256,5139,industrial tribunal,USE,labour tribunal,1226 organisation of the legal system,1226,12,12 law
10257,827,industrial undertaking,USE,industrial enterprise,4011 business classification,4011,40,40 business and competition
10258,345,industrial waste,,,5216 deterioration of the environment,5216,52,52 environment
10259,3067,industrial zone,USE,industrial region,1616 regions and regional policy,1616,16,16 economics
10260,1356,industrialisation,,,6806 industrial structures and policy,6806,68,68 industry
10261,1356,industrialisation policy,USE,industrialisation,6806 industrial structures and policy,6806,68,68 industry
10262,2297,industrialised country,,,1611 economic conditions,1611,16,16 economics
10263,3542,industrialist,USE,entrepreneur,4006 business organisation,4006,40,40 business and competition
10264,1356,industrialization,USE,industrialisation,6806 industrial structures and policy,6806,68,68 industry
10265,1356,industrialization policy,USE,industrialisation,6806 industrial structures and policy,6806,68,68 industry
10266,2297,industrialized country,USE,industrialised country,1611 economic conditions,1611,16,16 economics
10267,2297,industrialized nation,USE,industrialised country,1611 economic conditions,1611,16,16 economics
10268,3657,industry-research relations,,,6416 research and intellectual property,6416,64,"64 production, technology and research"
10269,194,industry-wide collective agreement,USE,collective agreement,4426 labour law and labour relations,4426,44,44 employment and working conditions
10270,717,ineligibility,USE,right to stand for election,1236 rights and freedoms,1236,12,12 law
10271,1940,infancy,,,1211 civil law,1211,12,12 law
10272,2594,infant,USE,early childhood,2816 demography and population,2816,28,28 social questions
10273,1992,infant death rate,USE,infant mortality,2816 demography and population,2816,28,28 social questions
10274,1992,infant mortality,,,2816 demography and population,2816,28,28 social questions
10275,1759,infectious disease,,,2841 health,2841,28,28 social questions
10276,6124,infectious haematopoietic necrosis,USE,fish disease,5631 agricultural activity,5631,56,"56 agriculture, forestry and fisheries"
10277,6124,infectious salmon anaemia,USE,fish disease,5631 agricultural activity,5631,56,"56 agriculture, forestry and fisheries"
10278,974,infertility,USE,fertility,2816 demography and population,2816,28,28 social questions
10279,3307,infertility treatment,USE,artificial reproduction,2806 family,2806,28,28 social questions
10280,2759,inflammable product,,,5216 deterioration of the environment,5216,52,52 environment
10281,1421,inflation,,,1611 economic conditions,1611,16,16 economics
10282,1426,informatics,USE,computer systems,3236 information technology and data processing,3236,32,32 education and communications
10283,437655,informatics skills,USE,digital literacy,3231 information and information processing,3231,32,32 education and communications
10284,1422,information,,,3231 information and information processing,3231,32,32 education and communications
10285,1752,information analysis,,,3221 documentation,3221,32,32 education and communications
10286,c_04ae3ba8,information assurance,USE,information security,3236 information technology and data processing,3236,32,32 education and communications
10287,5066,information bureau,USE,information centre,3221 documentation,3221,32,32 education and communications
10288,5891,information campaign,USE,public awareness campaign,0431 politics and public safety,0431,04,04 politics
10289,5066,information centre,,,3221 documentation,3221,32,32 education and communications
10290,5334,information disclosure,USE,disclosure of information,3236 information technology and data processing,3236,32,32 education and communications
10291,616,information exchange,USE,exchange of information,3231 information and information processing,3231,32,32 education and communications
10292,6176,information highway,,,3231 information and information processing,3231,32,32 education and communications
10293,1367,information industry,,,3231 information and information processing,3231,32,32 education and communications
10294,437655,information literacy,USE,digital literacy,3231 information and information processing,3231,32,32 education and communications
10295,4330,information medium,,,3231 information and information processing,3231,32,32 education and communications
10296,3422,information network,,,3231 information and information processing,3231,32,32 education and communications
10297,2472,information policy,,,3231 information and information processing,3231,32,32 education and communications
10298,4486,information processing,,,3231 information and information processing,3231,32,32 education and communications
10299,3585,information profession,,,3231 information and information processing,3231,32,32 education and communications
10300,3925,information science,,,3606 natural and applied sciences,3606,36,36 science
10301,c_04ae3ba8,information security,,,3236 information technology and data processing,3236,32,32 education and communications
10302,c_04ae3ba8,information security incident,USE,information security,3236 information technology and data processing,3236,32,32 education and communications
10303,4366,information service,,,3221 documentation,3221,32,32 education and communications
10304,437655,information skills,USE,digital literacy,3231 information and information processing,3231,32,32 education and communications
10305,6140,information society,,,3231 information and information processing,3231,32,32 education and communications
10306,4220,information source,USE,source of information,3231 information and information processing,3231,32,32 education and communications
10307,3024,information storage,,,3236 information technology and data processing,3236,32,32 education and communications
10308,1428,information storage and retrieval,,,3236 information technology and data processing,3236,32,32 education and communications
10309,6176,information superhighway,USE,information highway,3231 information and information processing,3231,32,32 education and communications
10310,4359,information system,,,3231 information and information processing,3231,32,32 education and communications
10311,5949,information system user,USE,information technology user,3236 information technology and data processing,3236,32,32 education and communications
10312,5188,information technology,,,3226 communications,3226,32,32 education and communications
10313,5441,information technology applications,,,3236 information technology and data processing,3236,32,32 education and communications
10314,1405,information technology industry,,,3236 information technology and data processing,3236,32,32 education and communications
10315,3607,information technology profession,,,3236 information technology and data processing,3236,32,32 education and communications
10316,5949,information technology user,,,3236 information technology and data processing,3236,32,32 education and communications
10317,616,information transfer,USE,exchange of information,3231 information and information processing,3231,32,32 education and communications
10318,4626,information user,,,3221 documentation,3221,32,32 education and communications
10319,c_4e75f061,information war,USE,information warfare,0816 international security,0816,08,08 international relations
10320,c_4e75f061,information warfare,,,0816 international security,0816,08,08 international relations
10321,c_04ae3ba8,infosec,USE,information security,3236 information technology and data processing,3236,32,32 education and communications
10322,c_433922a6,infrastructure as a service,USE,cloud computing,3236 information technology and data processing,3236,32,32 education and communications
10323,5953,infringement of Community law,USE,infringement of EU law,1011 European Union law,1011,10,1011 european union law
10324,5953,infringement of EU law,,,1011 European Union law,1011,10,1011 european union law
10325,5953,infringement of European Union law,USE,infringement of EU law,1011 European Union law,1011,10,1011 european union law
10326,5953,infringement of the EC Treaty,USE,infringement of EU law,1011 European Union law,1011,10,1011 european union law
10327,5814,infringement procedure (EU),,,1011 European Union law,1011,10,1011 european union law
10328,1669,ingot,,,6411 technology and technical regulations,6411,64,"64 production, technology and research"
10329,3934,inheritance,,,1211 civil law,1211,12,12 law
10330,1324,inheritance tax,USE,capital transfer tax,2446 taxation,2446,24,24 finance
10331,248,initial public offering,USE,stock-exchange listing,2421 free movement of capital,2421,24,24 finance
10332,5371,initiation of legal action,USE,legal action,1221 justice,1221,12,12 law
10333,5674,initiative of the European Union,USE,EU initiative,1016 European construction,1016,10,1016 european construction
10334,6619,injunction,,,1221 justice,1221,12,12 law
10335,5939,injury,USE,trauma,2841 health,2841,28,28 social questions
10336,2040,inland navigation,USE,inland waterway shipping,4821 maritime and inland waterway transport,4821,48,48 transport
10337,57,inland revenue,USE,tax authorities,2446 taxation,2446,24,24 finance
10338,4518,inland transport,,,4811 organisation of transport,4811,48,48 transport
10339,603,inland waters,,,1231 international law,1231,12,12 law
10340,4735,inland waterway,,,4821 maritime and inland waterway transport,4821,48,48 transport
10341,4515,inland waterway connection,USE,inland waterway transport,4821 maritime and inland waterway transport,4821,48,48 transport
10342,8461,inland waterway cruise,USE,river tourism,2826 social affairs,2826,28,28 social questions
10343,8461,inland waterway excursion,USE,river tourism,2826 social affairs,2826,28,28 social questions
10344,1036,inland waterway fleet,,,4821 maritime and inland waterway transport,4821,48,48 transport
10345,2040,inland waterway shipping,,,4821 maritime and inland waterway transport,4821,48,48 transport
10346,8461,inland waterway tourism,USE,river tourism,2826 social affairs,2826,28,28 social questions
10347,4515,inland waterway traffic,USE,inland waterway transport,4821 maritime and inland waterway transport,4821,48,48 transport
10348,4515,inland waterway transport,,,4821 maritime and inland waterway transport,4821,48,48 transport
10349,8461,inland waterway trip,USE,river tourism,2826 social affairs,2826,28,28 social questions
10350,8461,inland waterways cruise,USE,river tourism,2826 social affairs,2826,28,28 social questions
10351,8461,inland waterways excursion,USE,river tourism,2826 social affairs,2826,28,28 social questions
10352,8461,inland waterways tourism,USE,river tourism,2826 social affairs,2826,28,28 social questions
10353,8461,inland waterways trip,USE,river tourism,2826 social affairs,2826,28,28 social questions
10354,2430,inner tube,USE,pneumatic tyre,6811 chemistry,6811,68,68 industry
10355,1439,innovation,,,6416 research and intellectual property,6416,64,"64 production, technology and research"
10356,c_de4d6f2f,innovation cluster,USE,business cluster,6416 research and intellectual property,6416,64,"64 production, technology and research"
10357,5045,inorganic acid,,,6811 chemistry,6811,68,68 industry
10358,2740,inorganic chemical product,,,6811 chemistry,6811,68,68 industry
10359,765,inorganic fertiliser,USE,chemical fertiliser,5626 means of agricultural production,5626,56,"56 agriculture, forestry and fisheries"
10360,1731,input-output analysis,,,1631 economic analysis,1631,16,16 economics
10361,1731,input-output table,USE,input-output analysis,1631 economic analysis,1631,16,16 economics
10362,1694,insanitary housing,USE,substandard housing,2846 construction and town planning,2846,28,28 social questions
10363,5676,insect,,,5211 natural environment,5211,52,52 environment
10364,5227,insecticide,,,5626 means of agricultural production,5626,56,"56 agriculture, forestry and fisheries"
10365,3308,insemination of animals,USE,artificial insemination,5631 agricultural activity,5631,56,"56 agriculture, forestry and fisheries"
10366,3308,insemination of cattle,USE,artificial insemination,5631 agricultural activity,5631,56,"56 agriculture, forestry and fisheries"
10367,3308,insemination of goats,USE,artificial insemination,5631 agricultural activity,5631,56,"56 agriculture, forestry and fisheries"
10368,3308,insemination of pigs,USE,artificial insemination,5631 agricultural activity,5631,56,"56 agriculture, forestry and fisheries"
10369,3308,insemination of sheep,USE,artificial insemination,5631 agricultural activity,5631,56,"56 agriculture, forestry and fisheries"
10370,2304,inshore fishing,,,5641 fisheries,5641,56,"56 agriculture, forestry and fisheries"
10371,1049,inshore grounds,,,5211 natural environment,5211,52,52 environment
10372,5570,insider buying,USE,insider trading,1216 criminal law,1216,12,12 law
10373,5570,insider dealing,USE,insider trading,1216 criminal law,1216,12,12 law
10374,5570,insider trading,,,1216 criminal law,1216,12,12 law
10375,5229,inspector of fisheries,USE,fishing controls,5641 fisheries,5641,56,"56 agriculture, forestry and fisheries"
10376,1342,installation allowance,,,5611 agricultural structures and production,5611,56,"56 agriculture, forestry and fisheries"
10377,4664,instalment sale,USE,credit sale,2031 marketing,2031,20,20 trade
10378,2760,instant cocoa,USE,instant product,6026 foodstuff,6026,60,60 agri-foodstuffs
10379,2760,instant coffee,USE,instant product,6026 foodstuff,6026,60,60 agri-foodstuffs
10380,2760,instant product,,,6026 foodstuff,6026,60,60 agri-foodstuffs
10381,2760,instant tea,USE,instant product,6026 foodstuff,6026,60,60 agri-foodstuffs
10382,2076,institute for standardisation,USE,standardisation,6411 technology and technical regulations,6411,64,"64 production, technology and research"
10383,800,institute of technology,USE,higher education,3211 teaching,3211,32,32 education and communications
